case_no,rpm,p_amb_bar,t_amb_C,throttle_pct,alt_ft,power_kW,fuelflow_kgh,p_plenum_bar,t_plenum_K
1701,3500,1.013,30,98.8,0,45.25449794,13.40,1.0411,305.15
1702,3500,0.908,24,98.8,2999,42.56965102,12.65,1.0965,299.35
1703,3500,0.812,18,98.8,5997,38.84208747,11.82,1.0671,293.65
1704,3500,0.724,12,98.8,8999,35.44192122,10.78,0.9929,287.95
1705,3500,0.644,6,98.8,11998,30.62709732,9.34,0.8862,282.35
1706,3500,0.572,0,98.8,15000,24.0142493,7.76,0.7563,276.85
1707,3500,0.527,-4,98.8,17001,19.91193524,6.86,0.6672,273.05
1708,3500,0.485,-8,98.8,18999,16.72384357,6.12,0.5811,269.15
1709,3500,0.446,-12,98.8,21001,14.35752795,5.52,0.4962,265.15
1710,3500,0.410,-16,98.8,22999,12.54682806,5.03,0.4113,261.15
1711,3500,1.013,30,97.4,0,44.15679984,12.86,1.0299,305.15
1712,3500,0.908,24,97.4,2999,41.69999542,12.12,1.0785,299.35
1713,3500,0.812,18,97.4,5997,38.18663198,11.20,1.0424,293.75
1714,3500,0.724,12,97.4,8999,34.53593652,9.99,0.9657,288.05
1715,3500,0.644,6,97.4,11998,29.65454888,8.49,0.8651,282.35
1716,3500,0.572,0,97.4,15000,23.4366751,7.05,0.7478,276.85
1717,3500,0.527,-4,97.4,17001,19.62005633,6.25,0.6660,273.15
1718,3500,0.485,-8,97.4,18999,16.62167411,5.61,0.5840,269.25
1719,3500,0.446,-12,97.4,21001,14.34639768,5.09,0.5010,265.25
1720,3500,0.410,-16,97.4,22999,12.56010688,4.67,0.4178,261.15
1721,3500,1.013,30,94.1,0,41.31764763,12.14,0.9927,305.15
1722,3500,0.908,24,94.1,2999,39.30643051,11.57,1.0217,299.35
1723,3500,0.812,18,94.1,5997,36.50925256,10.81,0.9742,293.65
1724,3500,0.724,12,94.1,8999,32.57332917,9.54,0.8975,287.95
1725,3500,0.644,6,94.1,11998,27.81451782,8.10,0.8123,282.15
1726,3500,0.572,0,94.1,15000,22.84602276,6.84,0.7223,276.45
1727,3500,0.527,-4,94.1,17001,19.87904198,6.16,0.6574,272.45
1728,3500,0.485,-8,94.1,18999,17.43630261,5.60,0.5881,268.55
1729,3500,0.446,-12,94.1,21001,15.43437804,5.15,0.5148,264.45
1730,3500,0.410,-16,94.1,22999,13.71370851,4.79,0.4407,260.35
1731,3500,1.013,30,84.5,0,33.89063355,10.35,0.8995,305.05
1732,3500,0.908,24,84.5,2999,31.62130398,9.45,0.8909,299.15
1733,3500,0.812,18,84.5,5997,28.90442994,8.54,0.8386,293.15
1734,3500,0.724,12,84.5,8999,25.71359515,7.67,0.7599,287.15
1735,3500,0.644,6,84.5,11998,22.01959362,6.82,0.6725,280.95
1736,3500,0.572,0,84.5,15000,18.25297199,5.93,0.5868,275.05
1737,3500,0.527,-4,84.5,17001,15.79789079,5.33,0.5328,271.05
1738,3500,0.485,-8,84.5,18999,13.68524433,4.81,0.4833,267.15
1739,3500,0.446,-12,84.5,21001,11.99829533,4.40,0.4377,263.35
1740,3500,0.410,-16,84.5,22999,10.67539299,4.10,0.3956,259.45
1741,3500,1.013,30,72,0,25.96267896,8.15,0.8123,304.45
1742,3500,0.908,24,72,2999,23.90498692,7.36,0.7770,298.45
1743,3500,0.812,18,72,5997,21.21537797,6.71,0.7068,292.45
1744,3500,0.724,12,72,8999,17.97464236,6.09,0.6227,286.45
1745,3500,0.644,6,72,11998,14.74328621,5.52,0.5430,280.55
1746,3500,0.572,0,72,15000,12.02781775,5.03,0.4735,274.75
1747,3500,0.527,-4,72,17001,10.49162122,4.74,0.4313,270.85
1748,3500,0.485,-8,72,18999,9.173325091,4.49,0.3931,266.95
1749,3500,0.446,-12,72,21001,8.0515507,4.29,0.3592,263.25
1750,3500,0.410,-16,72,22999,7.118995706,4.13,0.3301,259.45
1751,3500,1.013,30,56.5,0,14.65669245,5.89,0.5702,304.65
1752,3500,0.908,24,56.5,2999,12.9598534,5.25,0.5342,298.65
1753,3500,0.812,18,56.5,5997,11.09909028,4.68,0.4960,292.65
1754,3500,0.724,12,56.5,8999,9.075479125,4.15,0.4510,286.65
1755,3500,0.644,6,56.5,11998,7.063084467,3.65,0.3996,280.55
1756,3500,0.572,0,56.5,15000,5.262186194,3.22,0.3502,274.75
1757,3500,0.527,-4,56.5,17001,4.324765727,3.02,0.3215,270.85
1758,3500,0.485,-8,56.5,18999,3.660849931,2.89,0.2981,266.95
1759,3500,0.446,-12,56.5,21001,3.25747064,2.86,0.2807,263.15
1760,3500,0.410,-16,56.5,22999,3.089866856,2.90,0.2693,259.35
1761,4000,1.013,45,100,0,59.53641863,18.38,1.1217,321.35
1762,4000,0.908,39,100,2999,57.64115321,17.53,1.1812,315.75
1763,4000,0.812,33,100,5997,54.98459939,16.74,1.1783,310.05
1764,4000,0.724,27,100,8999,52.22920067,16.01,1.1284,304.45
1765,4000,0.644,21,100,11998,46.57221895,14.76,1.0231,298.85
1766,4000,0.572,15,100,15000,37.60956126,12.89,0.8882,292.85
1767,4000,0.527,11,100,17001,33.11491473,11.84,0.8199,288.85
1768,4000,0.485,7,100,18999,30.48447741,11.06,0.7689,284.85
1769,4000,0.446,3,100,21001,28.60784837,10.33,0.7245,280.85
1770,4000,0.410,-1,100,22999,26.62075194,9.57,0.6758,276.95
1771,4000,1.013,45,99.4,0,58.41229244,17.77,1.1087,321.35
1772,4000,0.908,39,99.4,2999,56.35482654,16.79,1.1636,315.65
1773,4000,0.812,33,99.4,5997,53.57112197,15.87,1.1561,310.05
1774,4000,0.724,27,99.4,8999,50.70466538,15.05,1.1035,304.45
1775,4000,0.644,21,99.4,11998,45.07037907,13.81,0.9998,298.85
1776,4000,0.572,15,99.4,15000,36.42679488,12.13,0.8713,292.95
1777,4000,0.527,11,99.4,17001,32.14281186,11.21,0.8074,288.95
1778,4000,0.485,7,99.4,18999,29.64778162,10.50,0.7600,284.95
1779,4000,0.446,3,99.4,21001,27.85304117,9.82,0.7176,280.95
1780,4000,0.410,-1,99.4,22999,25.91215234,9.11,0.6695,277.05
1781,4000,1.013,45,98.8,0,57.30851509,17.21,1.0951,321.25
1782,4000,0.908,39,98.8,2999,55.11773906,16.13,1.1451,315.65
1783,4000,0.812,33,98.8,5997,52.25721717,15.12,1.1332,310.05
1784,4000,0.724,27,98.8,8999,49.27766612,14.21,1.0781,304.45
1785,4000,0.644,21,98.8,11998,43.69555654,12.98,0.9769,298.85
1786,4000,0.572,15,98.8,15000,35.46520136,11.47,0.8562,293.05
1787,4000,0.527,11,98.8,17001,31.39905971,10.65,0.7968,289.05
1788,4000,0.485,7,98.8,18999,28.99760688,10.01,0.7526,285.05
1789,4000,0.446,3,98.8,21001,27.23591982,9.39,0.7115,281.05
1790,4000,0.410,-1,98.8,22999,25.31428764,8.72,0.6635,277.15
1791,4000,1.013,45,97.4,0,54.81569632,16.08,1.0618,321.15
1792,4000,0.908,39,97.4,2999,52.40780559,14.90,1.1000,315.55
1793,4000,0.812,33,97.4,5997,49.52688891,13.78,1.0782,309.95
1794,4000,0.724,27,97.4,8999,46.30322703,12.71,1.0183,304.35
1795,4000,0.644,21,97.4,11998,40.92749728,11.50,0.9257,298.85
1796,4000,0.572,15,97.4,15000,33.85352436,10.30,0.8258,293.25
1797,4000,0.527,11,97.4,17001,30.28148518,9.66,0.7766,289.35
1798,4000,0.485,7,97.4,18999,27.97458369,9.13,0.7378,285.45
1799,4000,0.446,3,97.4,21001,26.15894346,8.60,0.6981,281.55
1800,4000,0.410,-1,97.4,22999,24.2146975,8.04,0.6498,277.65
1801,4000,1.013,45,94.1,0,48.79484289,14.24,0.9810,321.05
1802,4000,0.908,39,94.1,2999,46.18558313,13.26,0.9923,315.45
1803,4000,0.812,33,94.1,5997,43.73045286,12.38,0.9544,309.85
1804,4000,0.724,27,94.1,8999,40.35848397,11.31,0.8910,304.35
1805,4000,0.644,21,94.1,11998,35.68769124,10.15,0.8199,298.95
1806,4000,0.572,15,94.1,15000,30.68280305,9.13,0.7573,293.55
1807,4000,0.527,11,94.1,17001,27.81428583,8.55,0.7228,289.95
1808,4000,0.485,7,94.1,18999,25.48798229,8.03,0.6896,286.45
1809,4000,0.446,3,94.1,21001,23.46810432,7.56,0.6513,282.85
1810,4000,0.410,-1,94.1,22999,21.51122082,7.13,0.6053,279.15
1811,4000,1.013,45,84.5,0,37.6403401,11.50,0.8450,321.05
1812,4000,0.908,39,84.5,2999,35.66526104,10.62,0.8248,315.45
1813,4000,0.812,33,84.5,5997,33.20702714,9.69,0.7775,309.85
1814,4000,0.724,27,84.5,8999,29.88411894,8.74,0.7111,304.45
1815,4000,0.644,21,84.5,11998,25.56576906,7.76,0.6358,299.05
1816,4000,0.572,15,84.5,15000,20.94533703,6.69,0.5611,293.35
1817,4000,0.527,11,84.5,17001,17.906152,5.97,0.5136,289.45
1818,4000,0.485,7,84.5,18999,15.23933962,5.33,0.4710,285.35
1819,4000,0.446,3,84.5,21001,13.09454302,4.81,0.4338,281.45
1820,4000,0.410,-1,84.5,22999,11.4277609,4.42,0.4007,277.35
1821,4000,1.013,45,72,0,26.70217606,8.51,0.7469,320.55
1822,4000,0.908,39,72,2999,24.76369044,7.74,0.7044,314.95
1823,4000,0.812,33,72,5997,21.95699071,7.04,0.6345,308.95
1824,4000,0.724,27,72,8999,18.4486127,6.36,0.5540,302.95
1825,4000,0.644,21,72,11998,15.08535321,5.73,0.4810,297.05
1826,4000,0.572,15,72,15000,12.32949331,5.18,0.4211,291.25
1827,4000,0.527,11,72,17001,10.74884405,4.85,0.3860,287.25
1828,4000,0.485,7,72,18999,9.342165977,4.57,0.3542,283.35
1829,4000,0.446,3,72,21001,8.078952043,4.33,0.3252,279.55
1830,4000,0.410,-1,72,22999,6.956533777,4.14,0.2990,275.65
1831,4000,1.013,45,56.5,0,13.86333281,5.88,0.5188,320.15
1832,4000,0.908,39,56.5,2999,12.33107767,5.30,0.4744,314.35
1833,4000,0.812,33,56.5,5997,10.58058322,4.79,0.4321,308.45
1834,4000,0.724,27,56.5,8999,8.487050987,4.29,0.3874,302.55
1835,4000,0.644,21,56.5,11998,6.366422391,3.79,0.3403,296.55
1836,4000,0.572,15,56.5,15000,4.548903244,3.35,0.2974,290.75
1837,4000,0.527,11,56.5,17001,3.620652339,3.12,0.2738,286.85
1838,4000,0.485,7,56.5,18999,2.950958486,2.98,0.2547,283.05
1839,4000,0.446,3,56.5,21001,2.502503122,2.92,0.2398,279.25
1840,4000,0.410,-1,56.5,22999,2.251949082,2.95,0.2292,275.45
1841,3500,1.013,45,100,0,45.64223235,14.09,0.9314,320.25
1842,3500,0.908,39,100,2999,42.9582262,13.42,1.0003,314.45
1843,3500,0.812,33,100,5997,39.53486492,12.73,1.0086,308.65
1844,3500,0.724,27,100,8999,36.31928679,11.80,0.9608,302.95
1845,3500,0.644,21,100,11998,31.32098796,10.37,0.8654,297.25
1846,3500,0.572,15,100,15000,24.19296209,8.67,0.7492,291.55
1847,3500,0.527,11,100,17001,19.71579365,7.66,0.6769,287.45
1848,3500,0.485,7,100,18999,16.28692219,6.85,0.6143,283.35
1849,3500,0.446,3,100,21001,13.83487881,6.20,0.5583,279.35
1850,3500,0.410,-1,100,22999,11.97677165,5.64,0.5026,275.35
1851,3500,1.013,45,99.4,0,44.99225602,13.71,0.9260,320.25
1852,3500,0.908,39,99.4,2999,42.31044925,12.98,0.9921,314.45
1853,3500,0.812,33,99.4,5997,38.88642663,12.20,0.9972,308.65
1854,3500,0.724,27,99.4,8999,35.62587119,11.18,0.9476,302.95
1855,3500,0.644,21,99.4,11998,30.66644966,9.70,0.8532,297.25
1856,3500,0.572,15,99.4,15000,23.61256915,8.06,0.7403,291.65
1857,3500,0.527,11,99.4,17001,19.18198642,7.12,0.6707,287.55
1858,3500,0.485,7,99.4,18999,15.80848014,6.36,0.6103,283.45
1859,3500,0.446,3,99.4,21001,13.40027978,5.75,0.5557,279.35
1860,3500,0.410,-1,99.4,22999,11.57171319,5.22,0.5007,275.35
1861,3500,1.013,45,98.8,0,44.38656315,13.38,0.9204,320.25
1862,3500,0.908,39,98.8,2999,41.74119864,12.62,0.9835,314.45
1863,3500,0.812,33,98.8,5997,38.36448237,11.78,0.9854,308.65
1864,3500,0.724,27,98.8,8999,35.04946761,10.68,0.9341,302.95
1865,3500,0.644,21,98.8,11998,30.10860381,9.16,0.8412,297.35
1866,3500,0.572,15,98.8,15000,23.18123897,7.57,0.7325,291.65
1867,3500,0.527,11,98.8,17001,18.83388986,6.68,0.6657,287.65
1868,3500,0.485,7,98.8,18999,15.52387539,5.97,0.6075,283.55
1869,3500,0.446,3,98.8,21001,13.14954887,5.40,0.5540,279.45
1870,3500,0.410,-1,98.8,22999,11.33638991,4.91,0.4995,275.45
1871,3500,1.013,45,97.4,0,43.11406241,12.81,0.9072,320.35
1872,3500,0.908,39,97.4,2999,40.64012225,12.05,0.9622,314.55
1873,3500,0.812,33,97.4,5997,37.50350443,11.12,0.9565,308.75
1874,3500,0.724,27,97.4,8999,34.04708147,9.87,0.9021,303.05
1875,3500,0.644,21,97.4,11998,29.10541575,8.32,0.8144,297.35
1876,3500,0.572,15,97.4,15000,22.61541775,6.85,0.7167,291.75
1877,3500,0.527,11,97.4,17001,18.56628946,6.07,0.6570,287.85
1878,3500,0.485,7,97.4,18999,15.43138908,5.43,0.6034,283.65
1879,3500,0.446,3,97.4,21001,13.11551034,4.92,0.5521,279.55
1880,3500,0.410,-1,97.4,22999,11.30345024,4.49,0.4984,275.55
1881,3500,1.013,45,94.1,0,39.99711271,12.05,0.8762,320.45
1882,3500,0.908,39,94.1,2999,37.92248585,11.44,0.9098,314.65
1883,3500,0.812,33,94.1,5997,35.45821924,10.66,0.8882,308.85
1884,3500,0.724,27,94.1,8999,31.88257957,9.39,0.8297,303.05
1885,3500,0.644,21,94.1,11998,27.11599856,7.92,0.7553,297.25
1886,3500,0.572,15,94.1,15000,21.90121153,6.64,0.6807,291.35
1887,3500,0.527,11,94.1,17001,18.72204991,5.94,0.6339,287.25
1888,3500,0.485,7,94.1,18999,16.11045556,5.36,0.5890,283.15
1889,3500,0.446,3,94.1,21001,14.01440647,4.89,0.5430,279.05
1890,3500,0.410,-1,94.1,22999,12.25132855,4.51,0.4936,274.95
1891,3500,1.013,45,84.5,0,32.72808786,10.25,0.8373,320.45
1892,3500,0.908,39,84.5,2999,30.49790991,9.33,0.8322,314.65
1893,3500,0.812,33,84.5,5997,27.94796319,8.40,0.7889,308.55
1894,3500,0.724,27,84.5,8999,24.78781898,7.50,0.7179,302.15
1895,3500,0.644,21,84.5,11998,20.84934187,6.61,0.6366,295.95
1896,3500,0.572,15,84.5,15000,16.73705039,5.68,0.5571,289.85
1897,3500,0.527,11,84.5,17001,14.12462572,5.07,0.5072,285.85
1898,3500,0.485,7,84.5,18999,11.89735886,4.53,0.4632,281.75
1899,3500,0.446,3,84.5,21001,10.15540768,4.11,0.4250,277.85
1900,3500,0.410,-1,84.5,22999,8.83327442,3.79,0.3911,273.95
1901,3500,1.013,45,72,0,25.134173,8.01,0.7907,319.55
1902,3500,0.908,39,72,2999,22.98253984,7.19,0.7596,313.65
1903,3500,0.812,33,72,5997,20.33897554,6.52,0.6939,307.55
1904,3500,0.724,27,72,8999,17.19137993,5.91,0.6112,301.45
1905,3500,0.644,21,72,11998,13.98317396,5.34,0.5324,295.45
1906,3500,0.572,15,72,15000,11.26350388,4.85,0.4649,289.55
1907,3500,0.527,11,72,17001,9.728811521,4.56,0.4250,285.55
1908,3500,0.485,7,72,18999,8.415569496,4.32,0.3891,281.55
1909,3500,0.446,3,72,21001,7.295992055,4.12,0.3570,277.65
1910,3500,0.410,-1,72,22999,6.354974507,3.97,0.3288,273.85
1911,3500,1.013,45,56.5,0,14.40278814,5.91,0.5722,319.45
1912,3500,0.908,39,56.5,2999,12.68411229,5.25,0.5331,313.55
1913,3500,0.812,33,56.5,5997,10.87593835,4.68,0.4936,307.75
1914,3500,0.724,27,56.5,8999,8.892078405,4.14,0.4500,301.75
1915,3500,0.644,21,56.5,11998,6.874292103,3.63,0.4014,295.65
1916,3500,0.572,15,56.5,15000,5.046410728,3.18,0.3533,289.65
1917,3500,0.527,11,56.5,17001,4.070956716,2.96,0.3246,285.55
1918,3500,0.485,7,56.5,18999,3.360537208,2.82,0.3003,281.55
1919,3500,0.446,3,56.5,21001,2.903276329,2.77,0.2809,277.75
1920,3500,0.410,-1,56.5,22999,2.675935736,2.80,0.2664,273.85
1921,3000,1.013,0,100,0,33.69341661,10.07,0.9538,275.35
1922,3000,0.908,-6,100,2999,31.222568,9.67,0.9648,269.55
1923,3000,0.812,-12,100,5997,28.35774881,9.32,0.8819,263.55
1924,3000,0.724,-18,100,8999,25.74186462,8.79,0.7678,257.55
1925,3000,0.644,-24,100,11998,22.42379797,7.91,0.6224,251.45
1926,3000,0.572,-30,100,15000,18.09274578,6.77,0.4545,245.25
1927,3000,0.527,-34,100,17001,15.0937036,5.99,0.3433,241.15
1928,3000,0.485,-38,100,18999,12.46816467,5.29,0.2438,236.95
1929,3000,0.446,-42,100,21001,10.39884415,4.71,0.1621,232.95
1930,3000,0.410,-46,100,22999,8.881948713,4.28,0.1020,228.95
1931,3000,1.013,0,99.4,0,33.54097517,9.86,0.9629,275.35
1932,3000,0.908,-6,99.4,2999,31.13345126,9.44,0.9742,269.55
1933,3000,0.812,-12,99.4,5997,28.18882793,9.03,0.8874,263.55
1934,3000,0.724,-18,99.4,8999,25.47715517,8.42,0.7703,257.55
1935,3000,0.644,-24,99.4,11998,22.12344664,7.48,0.6242,251.45
1936,3000,0.572,-30,99.4,15000,17.80004245,6.34,0.4564,245.25
1937,3000,0.527,-34,99.4,17001,14.81937641,5.59,0.3452,241.15
1938,3000,0.485,-38,99.4,18999,12.21351891,4.91,0.2455,236.95
1939,3000,0.446,-42,99.4,21001,10.15833532,4.36,0.1633,232.95
1940,3000,0.410,-46,99.4,22999,8.647800798,3.95,0.1028,228.95
1941,3000,1.013,0,98.8,0,33.4532747,9.73,0.9712,275.35
1942,3000,0.908,-6,98.8,2999,31.13893409,9.30,0.9832,269.45
1943,3000,0.812,-12,98.8,5997,28.1162362,8.83,0.8925,263.55
1944,3000,0.724,-18,98.8,8999,25.29603111,8.13,0.7725,257.45
1945,3000,0.644,-24,98.8,11998,21.89901009,7.13,0.6262,251.45
1946,3000,0.572,-30,98.8,15000,17.60156502,5.99,0.4593,245.25
1947,3000,0.527,-34,98.8,17001,14.65685193,5.26,0.3485,241.25
1948,3000,0.485,-38,98.8,18999,12.08507148,4.61,0.2490,236.95
1949,3000,0.446,-42,98.8,21001,10.05075473,4.09,0.1666,232.95
1950,3000,0.410,-46,98.8,22999,8.54622464,3.70,0.1056,228.95
1951,3000,1.013,0,97.4,0,33.42411334,9.63,0.9865,275.35
1952,3000,0.908,-6,97.4,2999,31.37351737,9.21,1.0003,269.45
1953,3000,0.812,-12,97.4,5997,28.19821719,8.60,0.9023,263.55
1954,3000,0.724,-18,97.4,8999,25.10986064,7.70,0.7767,257.55
1955,3000,0.644,-24,97.4,11998,21.61194106,6.58,0.6313,251.45
1956,3000,0.572,-30,97.4,15000,17.44348845,5.46,0.4689,245.25
1957,3000,0.527,-34,97.4,17001,14.64270899,4.78,0.3607,241.25
1958,3000,0.485,-38,97.4,18999,12.19415311,4.21,0.2628,237.05
1959,3000,0.446,-42,97.4,21001,10.2308642,3.75,0.1808,232.95
1960,3000,0.410,-46,97.4,22999,8.739671635,3.41,0.1191,229.05
1961,3000,1.013,0,94.1,0,33.03534968,9.82,0.9932,275.25
1962,3000,0.908,-6,94.1,2999,31.19436206,9.42,1.0004,269.35
1963,3000,0.812,-12,94.1,5997,28.03657184,8.72,0.9028,263.45
1964,3000,0.724,-18,94.1,8999,24.67872924,7.66,0.7767,257.45
1965,3000,0.644,-24,94.1,11998,21.28526671,6.47,0.6412,251.35
1966,3000,0.572,-30,94.1,15000,17.80208998,5.41,0.4975,245.15
1967,3000,0.527,-34,94.1,17001,15.56803713,4.83,0.4015,241.15
1968,3000,0.485,-38,94.1,18999,13.57698478,4.36,0.3127,236.95
1969,3000,0.446,-42,94.1,21001,11.8738407,4.00,0.2358,233.05
1970,3000,0.410,-46,94.1,22999,10.44737237,3.72,0.1750,228.95
1971,3000,1.013,0,84.5,0,29.45490968,9.25,0.9202,274.75
1972,3000,0.908,-6,84.5,2999,26.67208604,8.38,0.8968,268.85
1973,3000,0.812,-12,84.5,5997,23.66039102,7.59,0.8254,262.85
1974,3000,0.724,-18,84.5,8999,20.9933138,6.89,0.7292,256.95
1975,3000,0.644,-24,84.5,11998,18.70812505,6.24,0.6264,250.95
1976,3000,0.572,-30,84.5,15000,16.48806206,5.59,0.5277,245.05
1977,3000,0.527,-34,84.5,17001,15.01860406,5.18,0.4654,240.95
1978,3000,0.485,-38,84.5,18999,13.67578366,4.82,0.4082,237.05
1979,3000,0.446,-42,84.5,21001,12.50543185,4.55,0.3571,233.05
1980,3000,0.410,-46,84.5,22999,11.49234367,4.34,0.3138,229.05
1981,3000,1.013,0,72,0,25.05033628,7.95,0.8413,274.75
1982,3000,0.908,-6,72,2999,22.78156142,7.16,0.8030,268.85
1983,3000,0.812,-12,72,5997,20.14681488,6.51,0.7357,262.95
1984,3000,0.724,-18,72,8999,17.26163761,5.94,0.6545,256.95
1985,3000,0.644,-24,72,11998,14.49404514,5.44,0.5727,251.05
1986,3000,0.572,-30,72,15000,12.16381165,5.02,0.4983,244.95
1987,3000,0.527,-34,72,17001,10.8623752,4.78,0.4537,241.05
1988,3000,0.485,-38,72,18999,9.792043822,4.59,0.4150,237.15
1989,3000,0.446,-42,72,21001,8.946764719,4.45,0.3825,233.05
1990,3000,0.410,-46,72,22999,8.292635018,4.35,0.3563,229.15
1991,3000,1.013,0,56.5,0,15.86141276,6.05,0.6256,274.95
1992,3000,0.908,-6,56.5,2999,13.98664782,5.35,0.5944,269.05
1993,3000,0.812,-12,56.5,5997,12.07317943,4.75,0.5561,263.15
1994,3000,0.724,-18,56.5,8999,10.13969973,4.21,0.5083,257.25
1995,3000,0.644,-24,56.5,11998,8.253228183,3.75,0.4559,251.25
1996,3000,0.572,-30,56.5,15000,6.686637699,3.41,0.4095,245.45
1997,3000,0.527,-34,56.5,17001,5.938939901,3.27,0.3845,241.45
1998,3000,0.485,-38,56.5,18999,5.476767619,3.22,0.3658,237.45
1999,3000,0.446,-42,56.5,21001,5.282657006,3.23,0.3531,233.45
2000,3000,0.410,-46,56.5,22999,5.297958564,3.31,0.3455,229.55
2081,3000,1.013,15,100,0,33.25200381,10.03,0.9137,290.35
2082,3000,0.908,9,100,2999,30.72934677,9.62,0.9688,284.45
2083,3000,0.812,3,100,5997,27.88263779,9.25,0.9292,278.65
2084,3000,0.724,-3,100,8999,25.45462688,8.69,0.8436,272.65
2085,3000,0.644,-9,100,11998,22.28828356,7.79,0.7245,266.85
2086,3000,0.572,-15,100,15000,17.7629493,6.66,0.5731,260.65
2087,3000,0.527,-19,100,17001,14.45781647,5.87,0.4651,256.45
2088,3000,0.485,-23,100,18999,11.5040662,5.14,0.3613,252.25
2089,3000,0.446,-27,100,21001,9.147381902,4.54,0.2676,248.05
2090,3000,0.410,-31,100,22999,7.42253785,4.08,0.1887,244.05
2091,3000,1.013,15,99.4,0,33.06088717,9.82,0.9205,290.35
2092,3000,0.908,9,99.4,2999,30.62378883,9.38,0.9759,284.45
2093,3000,0.812,3,99.4,5997,27.73325593,8.96,0.9332,278.65
2094,3000,0.724,-3,99.4,8999,25.22982415,8.31,0.8449,272.65
2095,3000,0.644,-9,99.4,11998,22.03840509,7.34,0.7254,266.85
2096,3000,0.572,-15,99.4,15000,17.51572107,6.21,0.5750,260.65
2097,3000,0.527,-19,99.4,17001,14.2250132,5.44,0.4675,256.45
2098,3000,0.485,-23,99.4,18999,11.28968764,4.75,0.3638,252.25
2099,3000,0.446,-27,99.4,21001,8.946964331,4.18,0.2700,248.05
2100,3000,0.410,-31,99.4,22999,7.227136789,3.74,0.1906,244.05
2101,3000,1.013,15,98.8,0,32.93444031,9.68,0.9267,290.35
2102,3000,0.908,9,98.8,2999,30.61182167,9.24,0.9823,284.45
2103,3000,0.812,3,98.8,5997,27.68912179,8.75,0.9367,278.65
2104,3000,0.724,-3,98.8,8999,25.09018302,8.01,0.8457,272.65
2105,3000,0.644,-9,98.8,11998,21.8529215,6.98,0.7261,266.85
2106,3000,0.572,-15,98.8,15000,17.34975774,5.84,0.5773,260.65
2107,3000,0.527,-19,98.8,17001,14.09681123,5.10,0.4708,256.45
2108,3000,0.485,-23,98.8,18999,11.19969473,4.44,0.3677,252.25
2109,3000,0.446,-27,98.8,21001,8.882037037,3.90,0.2740,248.05
2110,3000,0.410,-31,98.8,22999,7.169657208,3.49,0.1945,244.05
2111,3000,1.013,15,97.4,0,32.81942595,9.57,0.9387,290.35
2112,3000,0.908,9,97.4,2999,30.81099312,9.14,0.9934,284.45
2113,3000,0.812,3,97.4,5997,27.85734916,8.52,0.9418,278.65
2114,3000,0.724,-3,97.4,8999,24.99843592,7.58,0.8454,272.65
2115,3000,0.644,-9,97.4,11998,21.61504218,6.42,0.7265,266.75
2116,3000,0.572,-15,97.4,15000,17.2235162,5.27,0.5835,260.65
2117,3000,0.527,-19,97.4,17001,14.13443635,4.59,0.4809,256.45
2118,3000,0.485,-23,97.4,18999,11.38953882,4.00,0.3806,252.25
2119,3000,0.446,-27,97.4,21001,9.166302747,3.53,0.2886,248.05
2120,3000,0.410,-31,97.4,22999,7.479664514,3.17,0.2095,244.15
2121,3000,1.013,15,94.1,0,32.31154041,9.73,0.9474,290.35
2122,3000,0.908,9,94.1,2999,30.64614819,9.33,0.9885,284.45
2123,3000,0.812,3,94.1,5997,27.84905582,8.63,0.9303,278.65
2124,3000,0.724,-3,94.1,8999,24.65596139,7.54,0.8309,272.65
2125,3000,0.644,-9,94.1,11998,21.20810175,6.30,0.7192,266.45
2126,3000,0.572,-15,94.1,15000,17.48986466,5.21,0.5954,260.35
2127,3000,0.527,-19,94.1,17001,15.06077077,4.60,0.5071,256.25
2128,3000,0.485,-23,94.1,18999,12.89132215,4.11,0.4192,252.05
2129,3000,0.446,-27,94.1,21001,11.02947327,3.73,0.3364,248.15
2130,3000,0.410,-31,94.1,22999,9.467344343,3.44,0.2627,244.15
2131,3000,1.013,15,84.5,0,28.6854059,9.13,0.9078,289.85
2132,3000,0.908,9,84.5,2999,26.03977595,8.24,0.8999,284.05
2133,3000,0.812,3,84.5,5997,23.20103477,7.42,0.8408,277.95
2134,3000,0.724,-3,84.5,8999,20.51892223,6.70,0.7538,271.85
2135,3000,0.644,-9,84.5,11998,17.99397121,6.01,0.6583,265.95
2136,3000,0.572,-15,84.5,15000,15.52009519,5.34,0.5652,260.05
2137,3000,0.527,-19,84.5,17001,13.90922387,4.91,0.5058,255.95
2138,3000,0.485,-23,84.5,18999,12.46303318,4.53,0.4501,252.15
2139,3000,0.446,-27,84.5,21001,11.22911912,4.24,0.3989,248.15
2140,3000,0.410,-31,84.5,22999,10.20363086,4.03,0.3528,244.05
2141,3000,1.013,15,72,0,24.29698335,7.80,0.8476,289.65
2142,3000,0.908,9,72,2999,22.00057498,6.98,0.8146,283.75
2143,3000,0.812,3,72,5997,19.40343825,6.32,0.7479,277.85
2144,3000,0.724,-3,72,8999,16.53118006,5.75,0.6652,271.85
2145,3000,0.644,-9,72,11998,13.71143305,5.25,0.5824,265.95
2146,3000,0.572,-15,72,15000,11.311919,4.82,0.5071,260.05
2147,3000,0.527,-19,72,17001,9.966371814,4.58,0.4615,256.05
2148,3000,0.485,-23,72,18999,8.853544904,4.39,0.4210,252.15
