case_no,rpm,p_amb_bar,t_amb_C,throttle_pct,alt_ft,power_kW,fuelflow_kgh,p_plenum_bar,t_plenum_K
1128,5000,0.485,7,100,18999,80.16359181,25.56,1.2564,285.45
1129,5000,0.446,3,100,21001,75.03747679,23.84,1.1889,281.55
1130,5000,0.410,-1,100,22999,68.88037946,22.02,1.1200,277.75
1131,5000,1.013,45,99.4,0,84.47589876,26.55,1.3076,322.65
1132,5000,0.908,39,99.4,2999,83.80015841,25.60,1.3393,316.85
1133,5000,0.812,33,99.4,5997,83.16363698,25.03,1.3304,311.15
1134,5000,0.724,27,99.4,8999,82.4490545,24.75,1.3095,305.15
1135,5000,0.644,21,99.4,11998,81.93205542,25.00,1.2996,299.25
1136,5000,0.572,15,99.4,15000,81.14904539,25.16,1.3052,293.25
1137,5000,0.527,11,99.4,17001,80.12895513,24.88,1.2713,289.35
1138,5000,0.485,7,99.4,18999,77.44623222,24.00,1.2191,285.35
1139,5000,0.446,3,99.4,21001,72.81876056,22.59,1.1583,281.45
1140,5000,0.410,-1,99.4,22999,66.95940241,20.97,1.0934,277.55
1141,5000,1.013,45,98.8,0,82.24256352,25.46,1.2800,322.65
1142,5000,0.908,39,98.8,2999,81.07142413,24.25,1.3037,316.85
1143,5000,0.812,33,98.8,5997,79.82896717,23.34,1.2867,311.05
1144,5000,0.724,27,98.8,8999,78.52516101,22.74,1.2553,305.15
1145,5000,0.644,21,98.8,11998,77.62220563,22.71,1.2382,299.25
1146,5000,0.572,15,98.8,15000,77.18619296,23.00,1.2476,293.25
1147,5000,0.527,11,98.8,17001,76.67590979,22.99,1.2233,289.25
1148,5000,0.485,7,98.8,18999,74.54666757,22.42,1.1804,285.35
1149,5000,0.446,3,98.8,21001,70.38680657,21.29,1.1262,281.35
1150,5000,0.410,-1,98.8,22999,64.86294287,19.89,1.0655,277.45
1151,5000,1.013,45,97.4,0,76.93167298,23.02,1.2145,322.65
1152,5000,0.908,39,97.4,2999,74.72742404,21.36,1.2208,316.85
1153,5000,0.812,33,97.4,5997,72.29486125,19.85,1.1877,311.05
1154,5000,0.724,27,97.4,8999,69.89255542,18.73,1.1359,305.15
1155,5000,0.644,21,97.4,11998,68.35929011,18.31,1.1052,299.15
1156,5000,0.572,15,97.4,15000,68.44491074,18.70,1.1183,293.15
1157,5000,0.527,11,97.4,17001,68.63272543,18.99,1.1119,289.15
1158,5000,0.485,7,97.4,18999,67.38175726,18.87,1.0874,285.15
1159,5000,0.446,3,97.4,21001,64.15760483,18.27,1.0474,281.25
1160,5000,0.410,-1,97.4,22999,59.48601768,17.37,0.9966,277.25
1161,5000,1.013,45,94.1,0,63.96127317,18.51,1.0644,322.55
1162,5000,0.908,39,94.1,2999,60.15633967,16.69,1.0372,316.75
1163,5000,0.812,33,94.1,5997,56.62452496,15.08,0.9844,310.75
1164,5000,0.724,27,94.1,8999,53.64507122,14.14,0.9188,304.85
1165,5000,0.644,21,94.1,11998,52.20017504,13.96,0.8802,299.05
1166,5000,0.572,15,94.1,15000,52.05491474,14.08,0.8854,293.15
1167,5000,0.527,11,94.1,17001,51.79395999,14.06,0.8906,289.15
1168,5000,0.485,7,94.1,18999,50.77888696,13.90,0.8839,285.15
1169,5000,0.446,3,94.1,21001,48.66458275,13.58,0.8616,281.25
1170,5000,0.410,-1,94.1,22999,45.6046809,13.14,0.8266,277.25
1171,5000,1.013,45,84.5,0,42.5533454,13.16,0.8082,322.45
1172,5000,0.908,39,84.5,2999,40.20263661,12.28,0.7618,316.65
1173,5000,0.812,33,84.5,5997,37.60336779,11.44,0.7142,310.55
1174,5000,0.724,27,84.5,8999,34.37489578,10.65,0.6630,304.55
1175,5000,0.644,21,84.5,11998,30.82846238,9.82,0.6054,298.85
1176,5000,0.572,15,84.5,15000,26.9927604,8.80,0.5468,293.15
1177,5000,0.527,11,84.5,17001,24.16780493,8.02,0.5085,289.35
1178,5000,0.485,7,84.5,18999,21.44684654,7.29,0.4719,285.65
1179,5000,0.446,3,84.5,21001,18.99827464,6.68,0.4382,282.15
1180,5000,0.410,-1,84.5,22999,16.8995732,6.20,0.4089,278.75
1181,5000,1.013,45,72,0,26.09754697,9.05,0.6442,322.55
1182,5000,0.908,39,72,2999,23.78919528,8.21,0.5837,316.65
1183,5000,0.812,33,72,5997,20.86846269,7.41,0.5157,310.75
1184,5000,0.724,27,72,8999,17.54919298,6.64,0.4491,304.85
1185,5000,0.644,21,72,11998,14.64709365,5.95,0.3926,298.75
1186,5000,0.572,15,72,15000,12.12632618,5.38,0.3466,292.55
1187,5000,0.527,11,72,17001,10.46664478,5.03,0.3187,288.45
1188,5000,0.485,7,72,18999,8.843983194,4.72,0.2924,284.45
1189,5000,0.446,3,72,21001,7.315063946,4.46,0.2682,280.35
1190,5000,0.410,-1,72,22999,5.957980659,4.24,0.2469,276.25
1191,5000,1.013,45,56.5,0,11.52874907,5.85,0.4321,322.55
1192,5000,0.908,39,56.5,2999,9.943891144,5.38,0.3807,316.55
1193,5000,0.812,33,56.5,5997,8.240923154,4.99,0.3375,310.55
1194,5000,0.724,27,56.5,8999,6.085822087,4.59,0.2963,304.65
1195,5000,0.644,21,56.5,11998,3.933880985,4.18,0.2578,298.65
1196,5000,0.572,15,56.5,15000,2.273145838,3.84,0.2273,292.55
1201,4500,1.013,45,100,0,73.41678636,22.95,1.2514,322.45
1202,4500,0.908,39,100,2999,72.65669344,22.05,1.3035,316.85
1203,4500,0.812,33,100,5997,71.45810247,21.41,1.3014,310.95
1204,4500,0.724,27,100,8999,70.67202447,21.41,1.2739,305.15
1205,4500,0.644,21,100,11998,67.85145638,21.32,1.2096,299.25
1206,4500,0.572,15,100,15000,62.45458642,20.53,1.1250,293.25
1207,4500,0.527,11,100,17001,59.65505852,19.81,1.0775,289.15
1208,4500,0.485,7,100,18999,57.31658391,18.90,1.0345,285.15
1209,4500,0.446,3,100,21001,54.25224811,17.73,0.9826,281.15
1210,4500,0.410,-1,100,22999,50.01531373,16.37,0.9187,277.15
1211,4500,1.013,45,99.4,0,71.74893382,22.09,1.2307,322.45
1212,4500,0.908,39,99.4,2999,70.61476282,20.96,1.2763,316.75
1213,4500,0.812,33,99.4,5997,69.06975512,20.10,1.2676,310.95
1214,4500,0.724,27,99.4,8999,67.95910116,19.90,1.2344,305.15
1215,4500,0.644,21,99.4,11998,65.07085058,19.76,1.1695,299.25
1216,4500,0.572,15,99.4,15000,60.09455936,19.20,1.0921,293.25
1217,4500,0.527,11,99.4,17001,57.72998308,18.71,1.0518,289.15
1218,4500,0.485,7,99.4,18999,55.80981173,18.02,1.0155,285.15
1219,4500,0.446,3,99.4,21001,53.00691126,17.01,0.9674,281.15
1220,4500,0.410,-1,99.4,22999,48.86728863,15.74,0.9047,277.15
1221,4500,1.013,45,98.8,0,70.07330647,21.25,1.2093,322.35
1222,4500,0.908,39,98.8,2999,68.58881392,19.94,1.2483,316.75
1223,4500,0.812,33,98.8,5997,66.73851417,18.90,1.2333,310.85
1224,4500,0.724,27,98.8,8999,65.30963594,18.52,1.1946,305.05
1225,4500,0.644,21,98.8,11998,62.36625891,18.32,1.1297,299.25
1226,4500,0.572,15,98.8,15000,57.81767726,17.92,1.0597,293.25
1227,4500,0.527,11,98.8,17001,55.7976169,17.59,1.0259,289.15
1228,4500,0.485,7,98.8,18999,54.16643351,17.08,0.9950,285.15
1229,4500,0.446,3,98.8,21001,51.57092948,16.21,0.9503,281.15
1230,4500,0.410,-1,98.8,22999,47.57989602,15.05,0.8894,277.15
1231,4500,1.013,45,97.4,0,66.17417285,19.47,1.1572,322.35
1232,4500,0.908,39,97.4,2999,63.97667575,17.90,1.1807,316.55
1233,4500,0.812,33,97.4,5997,61.57888931,16.58,1.1530,310.75
1234,4500,0.724,27,97.4,8999,59.48859002,15.85,1.1029,304.95
1235,4500,0.644,21,97.4,11998,56.47432651,15.48,1.0401,299.15
1236,4500,0.572,15,97.4,15000,52.85468489,15.26,0.9874,293.35
1237,4500,0.527,11,97.4,17001,51.32336488,15.14,0.9652,289.25
1238,4500,0.485,7,97.4,18999,49.96984437,14.84,0.9426,285.25
1239,4500,0.446,3,97.4,21001,47.68377449,14.25,0.9044,281.25
1240,4500,0.410,-1,97.4,22999,44.15742977,13.40,0.8493,277.25
1241,4500,1.013,45,94.1,0,56.77234322,16.36,1.0344,322.25
1242,4500,0.908,39,94.1,2999,53.58277327,14.90,1.0257,316.45
1243,4500,0.812,33,94.1,5997,50.8878976,13.73,0.9806,310.65
1244,4500,0.724,27,94.1,8999,48.24371144,12.93,0.9208,304.85
1245,4500,0.644,21,94.1,11998,45.42558529,12.41,0.8688,299.15
1246,4500,0.572,15,94.1,15000,42.70563803,12.00,0.8392,293.45
1247,4500,0.527,11,94.1,17001,41.05557718,11.70,0.8259,289.55
1248,4500,0.485,7,94.1,18999,39.3378042,11.33,0.8077,285.75
1249,4500,0.446,3,94.1,21001,37.23873626,10.90,0.7775,281.75
1250,4500,0.410,-1,94.1,22999,34.66310232,10.42,0.7351,277.85
1251,4500,1.013,45,84.5,0,40.98804176,12.51,0.8287,322.15
1252,4500,0.908,39,84.5,2999,38.99296181,11.66,0.7944,316.35
1253,4500,0.812,33,84.5,5997,36.47955111,10.79,0.7473,310.65
1254,4500,0.724,27,84.5,8999,33.1497912,9.92,0.6906,304.85
1255,4500,0.644,21,84.5,11998,29.23437644,8.98,0.6271,299.25
1256,4500,0.572,15,84.5,15000,25.03407453,7.89,0.5631,293.85
1257,4500,0.527,11,84.5,17001,22.10663154,7.12,0.5213,290.25
1258,4500,0.485,7,84.5,18999,19.31472581,6.40,0.4811,286.85
1259,4500,0.446,3,84.5,21001,16.8015251,5.80,0.4437,283.25
1260,4500,0.410,-1,84.5,22999,14.70303256,5.34,0.4104,279.35
1261,4500,1.013,45,72,0,27.02755954,8.88,0.6931,322.05
1262,4500,0.908,39,72,2999,25.06663708,8.11,0.6396,316.25
1263,4500,0.812,33,72,5997,22.15042418,7.36,0.5692,310.45
1264,4500,0.724,27,72,8999,18.55500764,6.61,0.4949,304.35
1265,4500,0.644,21,72,11998,15.31188297,5.93,0.4302,298.15
1266,4500,0.572,15,72,15000,12.66247563,5.35,0.3783,292.25
1267,4500,0.527,11,72,17001,11.04499204,5.00,0.3475,288.25
1268,4500,0.485,7,72,18999,9.521399652,4.69,0.3190,284.15
1269,4500,0.446,3,72,21001,8.103739719,4.43,0.2927,280.25
1270,4500,0.410,-1,72,22999,6.836128273,4.21,0.2691,276.25
1271,4500,1.013,45,56.5,0,12.92132732,5.87,0.4695,321.75
1272,4500,0.908,39,56.5,2999,11.4889302,5.37,0.4206,315.85
1273,4500,0.812,33,56.5,5997,9.787129047,4.92,0.3767,309.85
1274,4500,0.724,27,56.5,8999,7.578360862,4.45,0.3324,303.95
1275,4500,0.644,21,56.5,11998,5.3363165,3.98,0.2883,297.95
1276,4500,0.572,15,56.5,15000,3.534657549,3.57,0.2512,292.05
1277,4500,0.527,11,56.5,17001,2.687442517,3.38,0.2327,288.15
1278,4500,0.485,7,56.5,18999,2.121471666,3.27,0.2191,284.15
1281,4000,1.013,0,100,0,62.30952776,18.66,1.2923,276.95
1282,4000,0.908,-6,100,2999,60.01183229,17.84,1.2576,271.15
1283,4000,0.812,-12,100,5997,56.18726278,17.12,1.1569,265.25
1284,4000,0.724,-18,100,8999,53.18573578,16.64,1.0491,259.45
1285,4000,0.644,-24,100,11998,49.39005317,15.74,0.9115,253.55
1286,4000,0.572,-30,100,15000,44.21441894,14.25,0.7479,247.55
1287,4000,0.527,-34,100,17001,40.87156945,13.21,0.6317,243.55
1288,4000,0.485,-38,100,18999,37.79446447,12.20,0.5204,239.55
1289,4000,0.446,-42,100,21001,34.93780016,11.25,0.4261,235.55
1290,4000,0.410,-46,100,22999,32.37869873,10.46,0.3577,231.65
1291,4000,1.013,0,99.4,0,61.33309365,18.06,1.2829,276.95
1292,4000,0.908,-6,99.4,2999,58.8440081,17.12,1.2445,271.05
1293,4000,0.812,-12,99.4,5997,54.81890481,16.28,1.1402,265.25
1294,4000,0.724,-18,99.4,8999,51.66332151,15.72,1.0315,259.45
1295,4000,0.644,-24,99.4,11998,47.85146569,14.83,0.8964,253.55
1296,4000,0.572,-30,99.4,15000,42.84021075,13.47,0.7360,247.65
1297,4000,0.527,-34,99.4,17001,39.65225147,12.54,0.6214,243.55
1298,4000,0.485,-38,99.4,18999,36.72622588,11.63,0.5113,239.55
1299,4000,0.446,-42,99.4,21001,33.99818969,10.78,0.4178,235.55
1300,4000,0.410,-46,99.4,22999,31.52895992,10.06,0.3496,231.65
1301,4000,1.013,0,98.8,0,60.37997237,17.51,1.2720,276.85
1302,4000,0.908,-6,98.8,2999,57.7358963,16.48,1.2306,271.05
1303,4000,0.812,-12,98.8,5997,53.56961641,15.56,1.1236,265.25
1304,4000,0.724,-18,98.8,8999,50.25444536,14.91,1.0145,259.35
1305,4000,0.644,-24,98.8,11998,46.41408151,14.02,0.8825,253.55
1306,4000,0.572,-30,98.8,15000,41.58403327,12.79,0.7260,247.65
1307,4000,0.527,-34,98.8,17001,38.55726036,11.96,0.6135,243.65
1308,4000,0.485,-38,98.8,18999,35.78550716,11.16,0.5051,239.65
1309,4000,0.446,-42,98.8,21001,33.18557869,10.39,0.4125,235.65
1310,4000,0.410,-46,98.8,22999,30.80040313,9.74,0.3445,231.65
1311,4000,1.013,0,97.4,0,58.23991473,16.40,1.2417,276.85
1312,4000,0.908,-6,97.4,2999,55.35605668,15.29,1.1957,271.05
1313,4000,0.812,-12,97.4,5997,51.04231956,14.26,1.0859,265.25
1314,4000,0.724,-18,97.4,8999,47.35821889,13.43,0.9769,259.35
1315,4000,0.644,-24,97.4,11998,43.43330401,12.52,0.8535,253.55
1316,4000,0.572,-30,97.4,15000,39.05416605,11.53,0.7083,247.75
1317,4000,0.527,-34,97.4,17001,36.40363285,10.90,0.6022,243.85
1318,4000,0.485,-38,97.4,18999,33.98067418,10.31,0.4990,239.85
1319,4000,0.446,-42,97.4,21001,31.66321334,9.74,0.4095,235.85
1320,4000,0.410,-46,97.4,22999,29.44939727,9.22,0.3417,231.85
1321,4000,1.013,0,94.1,0,52.88152695,14.60,1.1526,276.65
1322,4000,0.908,-6,94.1,2999,49.87846573,13.71,1.1025,270.95
1323,4000,0.812,-12,94.1,5997,45.73155664,12.89,1.0002,265.25
1324,4000,0.724,-18,94.1,8999,41.54789576,11.94,0.8992,259.35
1325,4000,0.644,-24,94.1,11998,37.67356608,10.97,0.7970,253.55
1326,4000,0.572,-30,94.1,15000,34.19594821,10.13,0.6798,247.75
1327,4000,0.527,-34,94.1,17001,32.16325338,9.65,0.5920,243.95
1328,4000,0.485,-38,94.1,18999,30.27963951,9.22,0.5046,240.25
1329,4000,0.446,-42,94.1,21001,28.4149019,8.84,0.4249,236.35
1330,4000,0.410,-46,94.1,22999,26.51725256,8.47,0.3597,232.55
1331,4000,1.013,0,84.5,0,41.35059207,11.86,0.9424,276.45
1332,4000,0.908,-6,84.5,2999,38.82987218,11.03,0.9043,270.85
1333,4000,0.812,-12,84.5,5997,35.0368034,10.17,0.8369,265.15
1334,4000,0.724,-18,84.5,8999,30.97342845,9.32,0.7513,259.35
